MISSION_TIME,ALTITUDE,AEROSOL_COUNT
0.000,0.00,155.37
0.200,0.91,155.18
0.400,3.63,152.51
0.600,8.16,160.71
0.800,14.50,167.08
1.000,22.66,168.86
1.200,32.63,155.96
1.400,44.41,148.84
1.600,58.01,160.59
1.800,73.42,164.45
2.000,90.64,171.68
2.200,109.68,165.14
2.400,130.53,180.35
2.600,153.19,178.00
2.800,177.66,194.79
3.000,202.84,195.07
3.200,227.64,212.39
3.400,252.03,211.02
3.600,276.04,209.62
3.800,299.66,206.05
4.000,322.88,206.80
4.200,345.71,202.91
4.400,368.15,194.15
4.600,390.19,194.98
4.800,411.85,186.64
5.000,433.11,177.68
5.200,453.98,171.77
5.400,474.45,150.32
5.600,494.54,145.01
5.800,514.23,138.99
6.000,533.53,123.99
6.200,552.44,111.65
6.400,570.95,107.39
6.600,589.08,104.99
6.800,606.81,97.01
7.000,624.15,84.95
7.200,641.09,72.77
7.400,657.65,66.66
7.600,673.81,66.96
7.800,689.58,68.58
8.000,704.95,53.30
8.200,719.94,59.96
8.400,734.53,47.91
8.600,748.73,46.04
8.800,762.54,51.04
9.000,775.96,41.86
9.200,788.98,39.60
9.400,801.61,45.44
9.600,813.85,36.84
9.800,825.70,29.00
10.000,837.15,37.03
10.200,848.21,26.51
10.400,858.88,35.26
10.600,869.16,35.78
10.800,879.05,26.58
11.000,888.54,34.80
11.200,897.64,32.23
11.400,906.35,27.83
11.600,914.67,25.45
11.800,922.59
12.000,930.12,26.81
12.200,937.26,26.62
12.400,944.01,29.03
12.600,950.36,28.98
12.800,956.33,22.98
13.000,961.90,25.58
13.200,967.08,25.79
13.400,971.86,24.25
13.600,976.26,19.25
13.800,980.26,28.40
14.000,983.87,20.09
14.200,987.08,30.05
14.400,989.91,19.37
14.600,992.34,27.00
14.800,994.38,26.36
15.000,996.03,21.02
15.200,997.28,25.53
15.400,998.15,24.26
15.600,998.62,28.11
15.800,998.00,31.19
16.000,995.60,29.33
